no,text
629,"戴資穎/ Tai Tzu Ying
小戴，恭喜您於印尼大師賽奪冠🏆
期待您今年更多、更精彩的表現。
戴資穎/ Tai Tzu Ying is celebrating DAIHATSU Indonesia Masters 2018.
January 28, 2018 at 6:45 AM ·
恭喜資穎，2018 首冠入袋。
Congratulations, Champion.
TTY's championship is not over.
See you guys at All England Open.
^^page admin"
630,"【 #自助報到省多少 05　旅行小物組送給你】
出國工作已經夠累人，趕飛機別再當短跑鐵人！

👆cue你的 #空中飛人 朋友，告訴他這個好消息：
「＠舒子晨，下次出差記得用長榮航空自助報到，讓你省時間、免煩惱！」
📌cue完就有機會獲得🛩長榮航空旅行小物組🛩喔，共會抽出5名得獎者！

瞭解更多：https://goo.gl/Uea87s
#即刻使用長榮自助報到 #月月抽亞洲線機票"
631,"【上班👨‍💼、休閒🏄‍♀、出國✈ 一包搞定】

五星級航空-長榮航空與優質的台灣在地品牌-萬國通路，聯手打造的時尚輕旅三用包（手提、肩背、後背），讓你輕鬆展現專業與品味！🎉

㊗ 即日起長榮樂e購搶先開賣，讓你走在時尚最前線 https://goo.gl/qmLgkb"
632,"【#旅遊小叮嚀 桃園機場1月27日起大改道】

📣即將出國的旅客注意囉！
桃園機場公司為配合興建第三航廈-第二階段北段工程施工需要，由國道進出機場的交通動線將自1月27日上午5時起，進行兩階段調整。

🔴2-1階段：1月27日上午5點起改道，國道2號進出機場車輛，由航站南路進、航站北路出。

🔴2-2階段：1月31日上午5點至11月底，車輛都必須由航站南路進出機場。
長榮貼心小叮嚀：用路人請放慢車速、速限50公里，並注意標誌指示喔
想知道更多改道資訊看這裡：https://goo.gl/NaD5oz"
633,"【 #自助報到省多少 04　旅行小物組送給你】
研究指出：有小孩的家庭，
每少排一個隊，就可省下父母87%的體力。

👆快呼喚你身邊的 #偉大父母親，告訴他這個好消息：
「＠陳媽媽，帶小孩出國就用長榮航空自助報到，讓你省時間、免煩惱！」
📌呼喚完就有機會獲得🛩長榮航空旅行小物組🛩喔，共會抽出5名得獎者！

瞭解更多： https://goo.gl/NzN3TT
#即刻使用長榮自助報到 #月月抽亞洲線機票"
634,"【#機上放大鏡 台灣酸甜好滋味上機🍹】
２０１８年１月起長榮航空皇璽桂冠艙、桂冠艙推出「冷壓鮮榨芒果綜合果汁」。
以台灣聞名國際的愛文芒果搭配柳丁🍊、百香果、香蕉🍌等在地新鮮水果創造獨特酸甜口感，讓搭機旅程從滿滿的台灣味開始。
#長榮好滋味 #台灣味上機"
635,"【 #自助報到省多少 03　旅行小物組送給你】
傳說，每對情侶都要經過「一起旅行」這項測試，才能航向一生一世的幸福——
在迎接感情的考驗前，別讓意外先啟程！

👆快呼喚親愛的另一半（or 另一半人選😏），告訴他／她這個好消息：
「＠比比，一起去旅行就用長榮航空自助報到，讓我們省時間、免煩惱！」
📌呼喚完就有機會獲得🛩長榮航空旅行小物組🛩喔，共會抽出5名得獎者！

瞭解更多： https://goo.gl/mKwA6X
#即刻使用長榮自助報到 #月月抽亞洲線機票"
636,"【#機上放大鏡~ ☁我要睡在雲裡面☁】
長榮航空菁英艙自2018年1月起更名為豪華經濟艙，舒眠備品當然也同步升級。
照片會說話，有圖有真相，看看新款枕頭特別加大尺寸，搭配獨特印花枕套，新款毛毯正面是細膩柔軟的磨毛材質，反面則是暖和的短毛絨布料，蓋在身上像雲朵的溫柔觸感，讓長程旅途一路好眠✈。
📣複習一下豪華經濟艙升級服務 https://goo.gl/kp9gLu
#你的聰明選擇 #多一點價值多更多"
637,"【#長榮大解密 聞到有鮮吼🍤】
為了讓農曆新年搭機的貴賓們，在三萬英呎的高空上仍年味十足，長榮航空與長榮空廚聯手推出機上農曆新年年菜。
㊙小潔搶先曝光試菜大會機密照片，敬請大家期待機上年菜成品囉。🍾"
638,"【 #自助報到省多少 02　旅行小物組送給你】
人生苦短，就是要開心度日、有理玩到睡著～
把握每一刻，出國前也能睡到最後一秒！

👆快呼喚那位 #四季都在冬眠 的朋友，告訴他這個好消息：
「＠典典，睡飽飽精神好喔～出國用長榮航空自助報到，讓你省時間、免煩惱！」
📌呼喚完就有機會獲得🛩長榮航空旅行小物組🛩喔，共會抽出5名得獎者！

瞭解更多：https://goo.gl/D7FLHx
#即刻使用長榮自助報到 #月月抽亞洲線機票"
639,"【#長榮大解密】
工作帥氣無關性別👩‍✈👨‍✈
飛行安全絕不妥協👷‍♀👷‍♂
你的旅途安全長榮來把關✈
#謹慎的男人最帥氣 #認真的女人最美麗"
640,"【 #自助報到省多少 01　旅行小物組送給你】
孔子說過：「父母在，不遠遊，遊必有方。」
現代科技發達，我們可以帶著父母遠遊，而且遊必有方法！

👆快呼喚總是在當 #旅遊總召 的朋友，告訴他這個好消息：
「＠陳漢典，你媽在你背後，她可以不必再火——家族旅遊用長榮航空自助報到，讓你省時間、免煩惱！」
📌呼喚完就有機會獲得🛩長榮航空旅行小物組🛩喔，共會抽出5名得獎者！

瞭解更多：https://goo.gl/Upa7bW
#即刻使用長榮自助報到 #月月抽亞洲線機票"
641,"【#長榮猜一猜 這是什麼呢？📣】
為了讓搭乘長榮航空的貴賓們享有舒適的飛行旅程，飛機上吃、喝、視、聽、嗅覺的各項用品長榮無處不用心，但各位貴賓們有注意到這些機上的貼心小物品嗎？

小潔今天要請大家猜猜看👀，照片中的物品是用在飛機內部的哪個地方？做什麼的呢？

🌟小小提示：提升嗅覺感受的小物，6*6*3CM"
642,"【#機上放大鏡　2018全新菜單設計✨】
小潔帶粉絲們看看我們全新的菜單設計！
📌睜大眼睛瞧瞧，你有發現什麼嗎？🤔

農田間竟然有蔬果的紋路！
長榮航空2018年特別與知名設計公司JL Design合作，結合台灣四季蔬果向全球推廣台灣四季風情，給予大家更別出心裁的飛行體驗😍

🔎小潔小知識：
酒菜單的設計手法上，以高空俯瞰大地的映象，搭配四季繁花茂果的鮮豔色彩，展現春夏秋冬在臺灣島嶼上所留下的歲月映象。
並且以「最好的時節，就是回家的時節」為設計理念，傳達長榮航空是旅人在空中溫馨舒適的家，而臺灣可以是所有旅人的家。"
643,"【#長榮佳話 熱血招集令 溫暖你我心】
天氣冷颼颼～
但長榮園區內的捐血車上卻溫暖無比！
長榮熱血青年不畏寒流來襲❄
挽袖做公益，熱情響應捐血活動
小潔邀請大家與我們一起熱血傳愛，捲袖助人傳愛心💞
#EVAAir #捐血後的果汁特別甜 #捐血"
644,"【旺新年！2018兩岸春節加班機開賣訊息】
長榮航空新年報喜，2018年上海春節加班機將於2018/01/10 上午09:00開賣！
購票圍爐去，旺旺過新年！
✈️ goo.gl/YUYcPf"
645,"【🛫承載夢想起飛】
📌小潔考考粉絲～這是什麼機型呢？"
646,"【紐約航班異動公告】
➡https://goo.gl/4sE8W8

美國東岸受大雪影響，往返紐約的航班將視情況取消或異動，請大家前往機場前，透過以下方式取得最新的航班消息。
✈先查閱『班機實際到離』：https://goo.gl/epggMw
✈並利用『簡訊提醒服務』：https://goo.gl/ekpcRL"
647,"【小潔的快速通關小撇步】
🔸起飛前要提早好幾個小時抵達機場？
🔸前往機場的交通狀況總是難以預測？
🔸不知道機場報到櫃台到底要排多久？
🎉小潔告訴大家～
班機起飛前48-1.5小時，都能使用官網或手機APP提前進行報到喔！
接著再使用自助報到專屬的行李託運櫃台，讓你快速通關不緊張！"
648,"【🎁機上的精心贈禮　全新舒眠睡衣】
設計師品牌 APUJAN 受長榮航空邀請聯手打造的機上舒眠睡衣，
從今年1 月全面更新為✨新一代的藍色系列✨

搭乘長程航班的皇璽桂冠艙/桂冠艙旅客，都能收到這份贈禮～
讓你享有更加舒適的飛行狀態！"
649,"【搭機就抽 百萬哩程紅包😍】

🎉哩程升等不再只是夢想......
每週都有10名幸運兒有機會抽到10,000哩！
光是參加，也能獲得300哩喔✨
-----
2017/10/1~2018/3/31搭乘由台灣地區出發之長榮航班的個人旅客登入活動，就可先得300哩！週週抽獎、超高中獎機率！別再猶豫～現在就參加！🤗🤗🤗
立即登錄👉https://goo.gl/5Bi6sa
還不是會員？趕快加入我們吧👉https://goo.gl/b4VCaA
EVAAIR.AMEXEVENT.COM.TW
【 百萬哩程紅包大放送 週週送出100,000哩！ 】"
650,"Hello～美麗的世界～❤
#EVAFanPhoto @Andy Chen"
651,"又到了歲末年終之際，相信大家都會在連假出國遊玩。

如果您這週末跟小潔一樣也要搭機出國，記得在機場要跟我們辛苦的一線同仁說聲 "" 辛苦了！""📣
#HappyNewYear2018
#松山機場同事好俏皮
#期待桃園機場同事的表現"
652,"【豪華經濟艙　服務更升級】
多一點，價值多更多！
💺多一點的伸展空間
🎮多一點的娛樂體驗
🍱多一點的美食享受

長榮航空自1992年推出菁英艙，2018年1月起更名為「 豪華經濟艙」
機上舒眠備品全面升級，就是要給您一趟享樂舒適的飛行體驗"
653,
654,"【登機證 🚌　享優惠❤】

欸... 立榮航空 UNI AIR 阿榮
你知道我們登機證可以享有長榮巴士購票優惠嗎？
自2017年12月12日~2018年04月30日
持長榮航空/立榮航空(國際線)搭機憑證
於活動期間搭乘長榮巴士國道客運【5201】路線
即可享有購票優惠的好康 😆
如此好康~~
小潔歡迎大家多加利用哦！
(貼心提醒：此活動半票及回數票未列入優惠)"
655,"【空服訓練日記】艙門操作強化練習
你知道嗎？
空服員上線之後 🛫
每年都還有定期的複訓 (小潔也是唷！)
最近的複訓內容中，有了全新的課程
以多元的實境模擬
加強空服員們對於艙門操作的應變能力～
期盼透過訓練
能給予大家安心舒適的飛航旅程 😉"
656,"#搭乘長榮航空 除了能享受機艙服務之外，
小潔覺得在 #高空上血拚 也別有一番風味！🛍

EVA Sky Shop App給你購買免稅品的新選擇
在地面上預訂免稅品，然後直接由空姐送到你手上～
不僅不用擔心機上商品賣到缺貨，還享有額外的折扣喔！

想在旅途中給家人或好友驚喜嗎？
快跟著小潔一起下載EVA Sky Shop吧！
… More
我們期許：『#長榮航空與大家一同航向更美好的未來』

📖更多詳情，請參見長榮航空企業社會責任報告書：
http://www.evacsr.com/FIle/ch/EVA_CSR_2016.pdf
#EVAAir"
657,"叮叮噹～叮叮噹
鈴聲多響亮🔔
今天是聖誕節🎄
在這充滿溫馨的一天✨
大家有沒有給身邊的親朋好友一些溫暖的祝福🌟
小潔在這裡也祝福各位～～♥
聖＊誕＊節＊快＊樂～🎅

到今天23:59止
只要回答問題👉https://goo.gl/RMcwdj
就有機會獲得『長榮航空驚喜聖誕包🛍』
EVA Airways Corp. 長榮航空
December 21, 2017 at 9:00 AM ·
【聖誕老人，我的禮物呢？】
每年的聖誕節
大家都期盼著聖誕老人的禮物🎁

今年，小潔要扮演聖誕老人送禮物給大家囉！
-----
長榮航空從2015年開始… More
不斷帶給大家歡樂、新奇、感動的✨聖誕影片✨
為喚起大家記憶裡的聖誕節🎄

只要在12/25 23:59前，回答以下問題：
『你最喜歡長榮航空哪一年的聖誕節影片？為什麼？』

就有機會獲得『長榮航空驚喜聖誕包🛍』，
飛機模型、紙膠帶、環保餐具等限量小物～
讓你一次帶回家😍
-----
【歷年聖誕影片回顧】
2017年：
https://youtu.be/1lQEOaqBBQk
2016年：
https://youtu.be/g1_x-zx0Rko
2015年：
https://youtu.be/-8yiMpqw4u8"
658,"冬至到～ 來碗熱呼呼的甜湯圓吧💞
♬ 週末愉快～♡
-----
【甜湯圓 vs 鹹湯圓】https://goo.gl/KPhNjE
立榮航空 UNI AIR 阿榮~~我覺得還是喝甜湯圓好 😎"
659,"【聖誕老人，我的禮物呢？】
每年的聖誕節
大家都期盼著聖誕老人的禮物🎁

今年，小潔要扮演聖誕老人送禮物給大家囉！
-----
長榮航空從2015年開始… More
不斷帶給大家歡樂、新奇、感動的✨聖誕影片✨
為喚起大家記憶裡的聖誕節🎄

只要在12/25 23:59前，回答以下問題：
『你最喜歡長榮航空哪一年的聖誕節影片？為什麼？』

就有機會獲得『長榮航空驚喜聖誕包🛍』，
飛機模型、紙膠帶、環保餐具等限量小物～
讓你一次帶回家😍
-----
【歷年聖誕影片回顧】
2017年：
https://youtu.be/1lQEOaqBBQk
2016年：
https://youtu.be/g1_x-zx0Rko
2015年：
https://youtu.be/-8yiMpqw4u8"
660,"我們即將迎接2018🛫
粉絲們在新的一年，許下了什麼願望呢？

🎉小潔邀請大家拿出行事曆，排一排明年的休假囉！
長榮航空為您精選了超過25個城市的遨遊計畫✈https://goo.gl/9yUrsR
EVAAIR.COM
跨年倒數～跟著長榮航空迎接2018！想省荷包就手刀排假　衝刺搶票！"
661,"聖誕節即將來臨～♡
熱情活潑、萌力四射的地勤三姐妹 😍
邀請大家一同與松山機場迎賓中心前的聖誕佈置合照📸
與親朋好友分享充滿聖誕氣息的喜悅！！
從松山機場出發 ✈
可以直接到東京羽田、韓國金浦以及上海虹橋機場 😉
都是不錯又便利的選擇喔！
#EVAAir #MerryChristmas
台北松山機場 Taipei Songshan Airport"
662,"沖涼🚿

♬ 冬日快樂～♡
#EVAAir #EVAFanPhoto @Andy Chen
-----
【長榮航空 #2017聖誕影片 溫馨登機💞】
👉https://goo.gl/v9ggDA
【『雙12』 對於長榮航空有什麼特別意義？】
👉https://goo.gl/9VGCAq
【三萬英呎高空 嚐出 #百年經典好滋味】
👉https://goo.gl/aQPwsx"
663,
664,"粉絲們，你知道影片中的飛機飛去哪兒了嗎？🤔

2018年3月9日起，長榮航空每周3班直飛______。

#小潔小提示：金色大廳、城堡花園

#以上開放作答 #EVAAir
#東歐門戶 #聽說前六班搶先價未稅18888元起
➡https://goo.gl/kYP9Ax"
665,"【#中村京料理　在機上品嘗濃郁的季節滋味🍱】
連續7次榮獲米其林三星肯定的日本主廚中村元計，
在12月份，為台北飛往 #大阪、#東京 的商務艙旅客，
傾心設計出別緻的京料理！
🔸主菜 海老香酥豆腐球
🔸配菜 什錦握壽司、松葉蟹錦系卷

小潔邀請你一同上機～
品嘗優雅濃郁的季節滋味！
#EVAAir"
666,"【#長榮航空獨家 專賣限定款行李箱】
長榮航空RIMOWA SALSA DELUXE Racing Green 電子標籤旅行箱，上市一周年，持續熱賣中！
快@TAG好友並留言，就有機會獲得旅遊好禮🎉

長榮航空電子標籤旅行箱，展現出你的絕佳品味！
✨無紙化的電子標籤，縮短行李託運時間。
✨高科技的外殼材質具有優異的耐撞、抗磨損特性，以最小重量展現最大耐用度。
✨無段式伸縮拉桿和降低噪音的Multiwheel ®… More 滾輪系統，使旅行成為一件輕鬆的事。
-----
即日起至12/17 23:59止，@TAG你最好的三位旅遊夥伴，
並留言『長榮航空電子標籤旅行箱好方便！https://goo.gl/ZWBbaq』
完成後，就有機會獲得
🎁 EVAAIR X ALIFE 行李吊牌
🎁 EVAAIR X ALIFE TSA 行李海關鎖
EX：
@阿榮、@小陽、@威威，長榮航空電子標籤旅行箱好方便！https://goo.gl/ZWBbaq

★FAQ：https://goo.gl/0n1Rw4
#EVAAir"
667,"#雙12 對於長榮航空而言，有非常特別的意義！
粉絲們知道為什麼嗎？🤔

波音747-400客機雖然已經從長榮航空退役了
但25年前的今天正是......
【我們第一架747-400客機 首航 #洛杉磯 的日子喔👏】

小潔和大家分享這支影片，讓大家回顧一下～
🔸空中女王的輝煌歷史… More
🔸感人催淚的退役航班
🔸氣勢磅礡的退役盛典

感謝共同見證 這歷史性一刻 的大家！

#EVAAir
#波音747
#queenoftheskies #空中女王
-----
【2017聖誕鉅獻　追飛機的男孩】
👉https://goo.gl/T8LiG4

【那些年，我們一起搭的747-400】
👉http://747.evaair.com/#/zh

【747退役航班全紀錄】
👉https://goo.gl/Kouuxu"
668,"【小潔邀請你一起　#捕捉長榮航空彩繪巴士】
三麗鷗家族的粉絲們～
平常在路上有沒有睜大眼睛呢？👀

最可愛、最歡樂的 #長榮航空彩繪巴士🚌
每天都在路上和機場周圍 趴趴走喔～
大家是不是都看過它們了呢？

歡迎和小潔分享你捕捉到的畫面喔😄
#EVAAir"
669,"蛋黃哥：『啊~~好懶啊，好想放假啊！
好想去東京玩啊！』
♬ 週末愉快～♡
#EVAAir #蛋黃哥彩繪機
-----
【長榮航空 #2017聖誕影片 溫馨登機💞】
👉https://goo.gl/v9ggDA
【Emily與小潔有約　#簽派這檔事】
👉https://goo.gl/RA6qLd
【🎉獨家！ #777F全貨機 內裝畫面大揭露！】
👉https://goo.gl/PxfDja"
670,"【「好好味」、「買手信」】
🎁 小潔聖誕港澳好禮搶先送 😍
完成以下分享有機會獲得限量飛機筆！
即日起至12/15 23:59止，@好友 一起聖誕遊港澳，有機會獲得限量飛機筆！
EX:『@阿榮 ，我們聖誕節一起去遊港澳！』
-----
耶誕遊港澳除了買東西、吃東西！
小潔推薦近期港澳活動：
🎉香港:
中環皇后像廣場華麗的聖誕樹和「閃躍維港」光影匯演及精采的跨年煙火秀。
🎉澳門:
澳門光影節，絢麗的燈光呈獻、光影音樂等饗宴，品味不一樣的視聽魅力。
✨機票hen省小秘訣～＊
訂購2017/12/31前出發的香港澳門機票，輸入優惠碼【HKM150】再折NTD.150元! (優惠碼效期至12/15止)。
👉正港澳遊立刻GO
https://goo.gl/6rJZP3
#EVAAir"
671,"【Emily與小潔有約　#簽派這檔事】
👉https://goo.gl/RA6qLd

粉絲們來看看這群『地面飛行員』
是怎麼讓飛機順利翱翔在世界各個角落的吧～😍

#EVAAir
It's all about Emily"
672,
673,"【三萬英呎高空 嚐出 #百年經典好滋味】
PAUL-源自1889的品質之家，從一小片麵包，小潔彷彿進入深度的法國美食世界😍😍😍！
即日起，長榮航空在香港返回台北點心時段航班上，推出以PAUL契作T65冬麥烘焙而成的磅蛋糕，提供旅客最道地法國傳統美食。
-----
❤12月甜蜜推出❤
✨巧克力磅蛋糕
經典巧克力口味，入口細緻綿密，非常受各個年齡層歡迎。
✨紅茶磅蛋糕
雞蛋、奶油、契作麥粉烘焙，加入了紅茶馥郁的香氣，道地法式午茶。
💞小潔貼心小提醒：『香港-台北返台的BR828/852/856航班上未提供PAUL餐點』
#EVAAir #PAUL #遊香港首選長榮"
674,"【敬請期待！ 簽派員Emily ✖ 小潔】
不論春、夏、秋、冬❄
還是晴天☀、雨天☔
長榮航空有個單位永遠不會熄燈
👉那就是 『簽派中心』

簽派員Emily 和她的同事們
24小時都在守護著長榮航空飛行世界各個角落的航機！

想知道這群 #地面飛行員 的工作大小事嗎🤔
小潔這週就會和大家介紹Emily的簽派生活囉！
#EVAAir #Dispatcher"
675,"長榮航空 #2017聖誕影片 溫馨登機💞
【追飛機的男孩 Chasing the Plane】

你，有多久沒回家看看家人？
今年，就與你最愛的人共享美好的聖誕佳節🌲

不論愛在哪，長榮航空就陪你飛到哪
我們隨時將以溫馨和祝福送你出發

跟著小潔一起追飛機: bit.ly/2sFHnrD… More

#EVAAir
#最好的禮物是與最愛的人團聚
#HappyHolidays #MerryChristmas"
676,"聖誕節將近 🎄
陪著我們超過14年的第二代制服
在今天開始『新舊交替』
我們將以全新面貌 用心迎接您 ✨
#EVAAir #全新第三代制服 #紅配綠 #綠配紅"
677,"隨著年末聖誕的到來 🎄
你打算要和誰共享美好的佳節時光呢？

#EVAAir #小潔越來越期待聖誕節"
678,"【#一場劃過天際的表演】
✈全新 #機上安全影片 網路版 粉絲團搶先曝光

小潔太驚豔了！
全新的『機上安全影片』就像一場✨空中舞蹈Live Show✨

舞者優雅的身影💃　穿梭在虛實場景中
特效粒子的流動⚛　與舞蹈完美地結合
全新的安全影片 讓你忍不住想一看再看😍

#EVAAir
#小潔忍不住又按下play😅
#大家要乖乖看完喔
#搭機安全很重要"
679,"【印尼火山噴發影響 - 航班異動】
👉https://goo.gl/t7aBuF

受印尼峇里島阿貢火山噴發影響，台北桃園(TPE)往來峇里島機場(DPS)航班異動，請參考網站訊息。

建議旅客於前往機場前，先行查閱本網站之班機實際到離，並利用班機到離簡訊提醒服務取得最新航班消息。
✈查詢班機實際到離：https://goo.gl/epggMw
✈簡訊提醒服務：https://goo.gl/ekpcRL"
680,"你知道哪些美食最能代表『德州』嗎？

-----

#EVAAir
#遊德州首選長榮
#BR52 #BR51
#EVAFanPhoto @Andy Chen"
681,"【印尼火山噴發影響 - 航班異動】
👉https://goo.gl/t7aBuF
受印尼峇里島阿貢火山噴發影響，台北桃園(TPE)往來峇里島機場(DPS)航班異動如下：
🔹11月27日：
BR255/256 台北(TPE)往返峇里島(DPS)已取消。
🔹11月28日：
BR255/256 台北(TPE)往返峇里島(DPS)已取消。

建議旅客於前往機場前，先行查閱本網站之班機實際到離，並利用班機到離簡訊提醒服務取得最新航班消息。
✈查詢班機實際到離：https://goo.gl/epggMw
✈簡訊提醒服務：https://goo.gl/ekpcRL"
682,"🛫身為 #星空聯盟 的一員，
#長榮航空 在各個樞紐機場提供旅客全球無間斷的服務！

綿密的航空網絡，無論身處世界的任何角落🌏，大家都能享有順暢銜接的旅程！
旅途從此不用再奔波，小潔邀請大家一起體驗卓越的星空之旅🌌
👉了解更多：http://www.staralliance.com/connectingyou
#EVAAir #StarAlliance20"
683,"【#節能航機 長榮陪你愛地球🌏】
從新交機的 #777貨機✈到明年將引進的 #787客機 ✈
長榮航空不斷引進最先進的航機、最環保的技術，
以溫室氣體減量為目標！
新機隊的加入～總是讓小潔充滿期待呢😁
我們期許：『#長榮航空與大家一同航向更美好的未來』

📖更多詳情，請參見長榮航空企業社會責任報告書：
http://www.evacsr.com/FIle/ch/EVA_CSR_2016.pdf
#EVAAir"
684,"【🎉全新 #機上安全影片　拍攝過程大公開】
大家還記得小潔上週給大家的暗示嗎？
👉https://goo.gl/kRTrXY
長榮航空全新的✨機上安全影片✨即將隆重登場

我們邀請到了《金馬導演》 李芸嬋 ✖ 《國際知名編舞家》 布拉瑞揚·帕格勒法，共同打造安全新美學，內容不僅融入了現代舞及3D投影技術，卡司陣容也非常堅強喔！

今天小潔就來讓粉絲們一睹
👉機上安全影片的拍攝過程

粉絲們在影片中可以看到工作團隊專業的身影～
他們可是經歷了三個月的排練，才完成這支影片呢！
📌全新機上安全影片即將在機上播放！請大家共同期待😍
#EVAAir"
685,"俏皮的酷模樣～😎

『酷企鵝』彩繪機
無論搭乘國際線、國內線
通通讓你沿途充滿著笑聲

下個月就是聖誕節 🎅
小潔也要準備展開輕鬆自在的旅程囉 😍

#EVAAir 立榮航空 UNI AIR"
686,"大家在我們舒適的機上洗手間都會做什麼呢？🤔

#EVAAir
#SKYTRAX最佳機艙清潔航空公司
#小潔提醒大家機艙全面禁菸喔"
687,"📸喀擦～ 小潔來幫飛機拍張帥氣的證件照！

📌考考大家！照片中這是什麼機型呢？
#EVAAir"
688,"【🎉獨家！ #777F全貨機 內裝畫面大揭露！】
粉絲們對✈飛機的客艙環境，應該再熟悉不過了～
但是大家知道貨機的肚子裡面 到底長什麼樣子嗎？🤔

小潔今天帶大家搶先看～
👉這架新交機的✨777F全貨機✨獨家畫面！
#EVAAir #777F #長榮大解密"
689,"【在長榮航空飛機上 #欣賞一場表演】
什麼～～～在飛機上看表演
小潔聽起來感覺好享受啊😍
是交響樂？舞台劇？還是🎩魔術秀？

兩位🔥重量級人物
《#國際編舞家》布拉瑞揚✖《#金馬導演》李芸嬋
會在三萬英呎的雲端上激盪出什麼火花💥

🙋‍♀即將曝光！有沒有人跟小潔一樣期待～趕快來看預告過過癮吧
#提示超明顯
#有人猜到了嗎
#航空首次演出"
690,"即將步入尾聲的2017年
如果你有一張免費機票，你想去哪個航點呢？
#EVAAir"
691,"隨著新朋友777貨機的到來，
有個舊朋友也悄悄在今年離去了......

✈MD-11貨機✈從今年8月31日完成除籍後，已全數除役！
機坪上再也看不到那獨特的三引擎設計了😥

就讓小潔透過照片與大家共同回憶
👉1994年 MD-11剛加入長榮航空的畫面吧😍
歡迎粉絲們和小潔分享你曾捕捉到的MD-11身影喔～
#EVAAir #777F #MD11"
692,"【你喜歡三麗鷗家族的哪些角色呢？】

『這是Kiki和Lala』
『這一個是Hello Kitty』
『欸...我比較喜歡布丁狗♡♡♡』
可愛的三麗鷗家族夥伴，讓你的旅途充滿著笑聲，陪你一同度過難忘的搭機時光 😄

#EVAAir #三麗鷗家族 #彩繪機"
693,"續小潔上次介紹的紐約 Erno Laszlo 過夜包
👉https://goo.gl/wopRTa
這次小潔要來介紹另一款全新的過夜包😎
-----
【 #豪經艙過夜包 THANN過夜包新色登機🏙】
豪華經濟艙的THANN過夜包於10月中新色登場！
俏皮的青蘋果綠包包內，除了一貫的各項盥洗舒眠用品，更搭配黃澄瓶身的新款THANN「伊甸微風」系列保養品，清新可愛又滋潤，呵護您的飛行時光❤❤❤
這款過夜包由返回台北的長程線豪經艙旅客們，都能感受到這清新可愛的呵護！
#典藏長榮過夜包
#EVAAir"
694,"【#地勤的眼界 秋遊北海道】
正值賞楓的季節，漫步於北海道大學校園中
沿途盡是嘆為觀止的景色
「賞」最美的金黃時期之銀杏✨
「賞」最亮的紅中秋透的楓葉🍁
同時欣賞到鮮豔的楓葉和銀杏～
可謂一次滿足『紅景』『黃景』兩種願望 😆
------
即日起，長榮航空BR116/115以彩繪機每日飛航札幌！
👉詳情資訊，小潔請大家參考彩繪機網站：
https://goo.gl/CaobBP
#EVAAir #EVAFanPhoto @Andy Chen"
695,"【#長榮航空LINE好友獨享 最高有機會獲得免費機票！】
就是現在！長榮航空LINE官方帳號成為你的好友！
LINE官方帳號不定時推出好康訊息👍

現在加入好友，馬上取得好友好康訊息~~~
🎉維也納、🎉舊金山優惠碼
再抽維也納、舊金山機票各一名！💪💪💪
想了解更多詳情，趕快加入長榮航空LINE官方帳號
粉絲們，還在等什麼～😍
趕快拿出你的手機，和小潔一起加入吧！
✨如何加入：
🛫請於LINE搜尋ID「@evaair」加入好友
🛫透過連結加入：https://goo.gl/DpFmY1
#EVAAir #LINE好友獨享"
696,"【✈長榮航空首架 #777貨機　抵達台灣囉】
🎉小潔有個重要的消息要和大家宣布！
長榮航空首架、也是台灣的第一架777貨機（B-16781），就在今天下午飛抵桃園機場了！

這架全球最大的雙引擎全貨機，是以777-200LR為設計基礎，有著優異的環保性能🌏
美麗的身型和塗裝是不是很搶眼呢～
未來飛機迷們又有新的亮點可看囉❤
#EVAAir #777F #B16781"
697,
698,"【#長榮心情 『安全』讓你的旅途不設限】
每次飛行任務重要的一環
就是確保安全
除了安全
更要讓你的旅途不設限

#歡迎搭乘長榮航空 打開你的眼界看世界

#EVAAir"
699,"【#感受青森祕境之美 】
日本只有北海道可以看到美的 #嫑嫑 的雪景嗎？
小潔告訴粉絲們青森也hen讚！
即日起到明年三月，搭乘青森包機漫遊日本東北
✨一睹十和田湖
映照白雪的湖畔風光
✨星野飯店八重九重之湯
將群山美景盡收眼底
✨體驗睡魔之家
睡魔祭的歷史與文化傳承
感受青森祕境之美，請洽全省各大旅行社
#EVAAir #青森包機 #團體旅遊首選"
700,"【#長榮航空的奇幻冒險 精彩活動花絮】
藍天裡的秘密，在25組幸運的粉絲面前全都一覽無遺！
無論是安全簡介、機種介紹、簽派作業等等...
在現場直接讓每位粉絲感受不一樣的奇幻之旅 😍
現在～小潔請大家一起來欣賞~精彩的活動花絮片段吧～！
👉活動重點行程：
🔹安全教育中心
🔹空服員報到中心/簡報室
🔹飛航簽派中心
🔹五星級航空餐廳
🔹飛行模擬機
🔹緊急逃生訓練艙/艙門訓練/防火訓練
🔹長榮航太科技
小潔也再次感謝粉絲們的熱情參與，期待再相會❤❤

#EVAAir"
